id,text,gender/sexual_pred,gender/sexual_gold
fas_856c6be0caaf43f8a43f13451ac00181,فکر کنم معاون به یه درجه مجازات پایین تر از فاعل اصلی محکوم میشه مثلا شاید حبس ابد.که زنه هم در قبال رضایت مهریه اش رو خواسته,1,1
fas_903dfdec4a7196cc3ad4c06234704cf7,اگه فردا مسیح علینژاد بخاد حامی حقوق زنان تو ایران باشه من از همین الان هشتگ زدنو متوقف کنم,1,1
fas_95abc490555f19bcb59666517ea7cb10,زن چرا اعصاب نداری؟ منظورم مذمت حجاب، خصوصا روی موی فر کوتاه بود. :)))),1,1
fas_97614af0d8f6d06b9061c2255aced881,با گشت ارشاد موافق نیستم اما کار اینا خشونت علیه زنان با گستاخی تمامه!,1,1
fas_982c5223d31d2e431fedbc40c98b56ba,فکر کردی چپ چی بودن؟ از دل همین مردم متعصب و مذهبی بیرون اومده بودند.کجا حقوق زنان براشون مهم بوده؟,1,1
fas_988d07bcbd27b2ff4fe19fdfc34139f6,غلط کردن. اگر من مامور گشت ارشاد ببینم که دختری را گرفته، میرم پدرشو درمیارم,1,1
fas_9aea366c6233a1fe406e56fb822c04de,اسلام بهترین مدافع حقوق زنان هست اگر بعضی ها گوش شنوا و چشم بینا داشته باشن,1,1
fas_9b4a922bb1c2609522b27a5029e36a66,۱.این دیالوگ شایان اتفاقا زن ستیز نیست و برابری واقی خواهانست. ولی از یک جای تاریخ جهان، دنیای رو به تمدن و بعدا متمدن تصمیم گرفت برای جبران قرنها برخورد نر گرایانه و مردانه و تسلط مدار بر جنس مونث، برخوردی به  ⏬,1,1
fas_9d9483d613bf8b73dbed9cdd2c554489,الان فرزندآوری اونقدر دغدغه‌شونه بعید نیست عکس آلت و نحوه تولید مثل رو هم با همین روش‌های احمقانه نشون بدن,1,1
fas_9ec5de39ab18681c1d1b6b0be80e5fda,من یه رفیق دختر میخوام که کثافت کاریامو ماست مالی کنه وگرنه مدافع حقوق زنان که زیاده,1,1
fas_abf9acceccdaeba363bb24c9ce304a43,استقلال که تعریفش مشخصه دیگه زن,1,1
fas_acac2d13c1391c6eba2160df57ed459a,مردی که توانایی وکالت دادن نداره چطور اصلا صلاحیت ازدواج داره؟!,1,1
fas_bca9c48e6c979a99b6c5ca2db0118a66,چطوری هم فعال سیاسی و حقوق زنان هستید هم حامی متجاوز؟؟؟,1,1
fas_bcce9a75a02d288c9f018ffe241022e7,اینا همونایی هستن که موقع گشت ارشاد یا تظاهرات یه دختر یا پیرمرد رو جوری میزنن انگار دوست پسر زنشون رو پیدا کردن,1,1
fas_beac5641fec2519508490671d7678e6b,اغلب قشر ورزشگاه برو تو سطح اجتماعی‌ای هستند که اینکه انتظار دارید به خاطر دفاع از حقوق زنان، نرن استادیوم، بسیار خنده داره.,1,1
fas_c0ed21bfe24e7927c8e4192d6ecedfba,اینجا کانورت هم می کنند بعضیا و مسلمونهای خودشون هم هستند که اونا البته کمتر حجاب دارند ولی من باز به خودم میگم طرف بالغه به تو چه,1,1
fas_c7591b730a3c2a7b08ad57c3e843377a,چه ربطی داره هر چی میشه به حقوق زنان ربطش میدین بعدشم چندین فصله از کجا میدونی نیستن؟,1,1
fas_ce2d4f6663d78309497518ead6e8ec94,کت تا ابد تن زنی هست که احساساتش رو ریخته تو گونی  برده جایی که عرب نی انداخت ولی 😔,1,1
fas_ced9c24b34fa108635c911803879801f,بعدشم ، امیر نادری فیلمای قبل انقلابش همه ی زن ها بی حجاب بودن اگه سازدهنی و دونده هم همینطوره پس تلویزیون جمهوری اسلامی چطوری نشون داده؟!,1,1
fas_d18e60b0c29bd65509268f947a5a8e65,بهاره رهنما کجاست؟ اون که مدافع حقوق زنان بود؟,1,1
fas_d4643fac8cad2d7e2dd16108a524bcc8,اینکه توی توئیتر همه نقاب حمایت از حقوق زنان و دختران رو بزنن به نظر من یه چیز کاملا عادیه,1,1
fas_e08c6d47a212ba3fa662a88ff1659d3e,حجاب سمبل دوران برده‌داریست. زمانیکه زنان برده‌ی مردان بودند. حجاب را باید با آزادی بیان و نقد سنت‌های کهنه، منسوخ کرد.,1,1
fas_e11db38a18ee0afe13dfe2393b01a5f0,کشتار و حقوق زنان یا نسلکشی هزارها,1,1
fas_e2d4be2337bb6dd609749127206f3869,نه بابا ترسناک بود، خواننده زن با حجاب کامل و لباس سنتی,1,1
fas_ebaa2a3b1a43332bcfb2d136a78d0860,شما غلط می کنید و بقیه زنان این کشور را سوار ماشین گشت ارشاد می کنید.,1,1
fas_f13258f3cf38373f410e260f47786180,ملت به زن مسلمون محجبه که فشن رو فالو کنه فحش میدن واسه میریم و شانی خانم که جای حجاب کلاه گیس میذارن ولی همون کارا رو میکنند اکلیلی میشن. جدی فرقشون مگه چیه؟,1,1
fas_fb7096ebc3b3096953a49e583c2e1619,همه کاراشو خودم کردم، مسلطم، ولی از ارائه بدم میاد حمیدرضا، اونم جلو این دولتیا، باید حجاب بپوشم و ...,1,1
fas_fbdea9743b263b9a85f1f46db7a36924,خانم عسگری خیلی ممنون که به دنیا ثابت کردید #حجاب محدودیت نیست,1,1
fas_ffbcb716b38ddadca38cd37306942e81,ای وای نه! طبق تجربه شخصی میگم اگه بد بشه، حجاب بدترش می‌کنه. من یه مدت شبیه کلم بروکلی بزرگی بودم که سلیفون کشیدن سرش.  😭🤦🏻‍♀️,1,1
