id,text,lack_of_empathy_pred,lack_of_empathy_gold
fas_78b6846306738c40743111d2729b4ba5,برای دوست عزیزم که دوستهانش رو جلوش اعدام کردید و خودش رو اعدام مصنوعی تا وقتی زنده‌اس کابوس ببینه و داروی روان بخوره.   #مهسا_امینی,1,1
fas_79a833429d14ab7ff758c65274cbdf40,به ازای هر اعدام یه بسیجی کشته خواهد شد,1,1
fas_7b489b23b20f19ef085cddf775c16cc0,باید اعدام صحرایی کرد اینارو.,1,1
fas_7dc8bd3460426032170b41dfe7c2fa0a,رحم جایز نیست، اعدام اش کن😁🤦‍♂️  از آموزه های ادبیات پارسی,1,1
fas_7efc52a46bc670b2ea9d3d1133c9bd5d,دلم می‌خواد هرچی مرد هست که نظر میدن «جمهوری اسلامی دیگه کاری به حجاب زن‌ها نداره» رو خفه کنم!,1,1
fas_80ea6c2fc9a8f4f1642ddb39f57f13ae,آخوند نباید گم بشه  باید بمونه و اعدام بشه,1,1
fas_89bc0c8dd25510be67e5af3c2055ca9e,به عنوان یک ایرانی از اعدام قاتل هموطنانم حمایت میکنم,1,1
fas_8d6129983e51ff43d6397d785e8d7fd4,خامنه ای اعدام باید گردد.  #مهسا__امینی,1,1
fas_8f1d2507e2a15a9db412a91852325b87,اخرین باری که یه فرمانده سپاه تهدید کرد توسط ترامپ تبدیل به کتلت شد,1,1
fas_90db5db36118ef5672d24b3ca3ef59ef,به جرم اقدام علیه امنیت نظام میکننش تو گونی سرشم میکنن زیر اب دیگه,1,1
fas_925796b7efe734f783ee150bae62d366,نه بزرگ اند نه شجاع و نه کسی ترسیده تو نمیتونی واقعیت را ببینی فعلا ک هر روز چند نفرشون را سگ کش میکنند تو گونی,1,1
fas_959bcd57504b13164c7a0bdb84c8c190,خیلی ناراحتی ابتکار عمل از دستتون در رفته   موقعی که گیر انداختیمشون و تو صحنه جرم اعدام شدن   از خوک نجس تری هشتک نه به اعدام بزنی,1,1
fas_9a14586468131e6370c0d18999e20ecc,نباید دست از اعتراضات کشید وگرنه همه رو اعدام میکنند,1,1
fas_9c4697f3743fcaacaacb6cc51426e82b,رهبر مفسد اعدام باید گردد  #مهسا_امینی,1,1
fas_9d43da5a8a0bed35dbb20902acefeb85,امضای برجام یعنی ۲۰سال اضافه شدن به عمر حکومت این عوضیها,1,1
fas_a46b16362d57a8fc36ef95573b380c67,اگه یک کشورو میدادن دست من همه ی ثروتمندان رو اعدام میکردم هر کس که شیعه نبود رو اعدام میکردم فرصت میدادم در راه درست قرار بگیرن بی حجاب ها اعدام میکردم بگونه ای بعد از اعدام ثروتمندان کار ها رو بین ملت تقسیم میکردم بعدش دزدی رو اعدام میکردم کوچکترین فساد مسئولین رو هم که اعدام میکردم…,1,1
fas_acb3a17ca037a1793f446522ea10a139,باید آخوند بودن جرم اعلام بشه، گشت بذارن سطح شهر آخوند بگیره، هر کی هم اعتراض کرد بگیم قانون مملکته,1,1
fas_ae195c76b4f10328159b148ff1edddd4,در صورت اجرای اعدام عمامه پرانی به آخوندسوزی تبدیل میشه,1,1
fas_ae56c5d8507cfffd4bd2a0b74ad95f3b,قبل اعدام به دخترها تجاوز میکنن  #مهسا_امینی,1,1
fas_afd689ac553fe211cfdfdffffbb6c318,مذهبی های معمولی نه ولی عرزشیا و چپ ها و آخوندا باید سرکوب شن چون علنا دشمن ایران و ایرانی ان  آزادی بیان به نظر من مال کسیه که داره انتقاد می‌کنه و دنبال اصلاحه ، نه مال کسی که کلا می‌خواد سر به تن کشور و حاکمش و مردمش نباشه  الان به طور مثال من مجازم به پدر و مادر خدابیامرز تو توهین کنم؟!,1,1
fas_b3b01da3c1a84b9faa80c75c9513808d,یعنی واقلا باید رید تو مغزت جاهل الاغ پره مواضع احمدی نژاد درمورد گشت ارشاد,1,1
fas_b66d90b4326075676dd52ee60e3e31d7,این با سلمان رشدی هیچ فرقی نداره بابد اعدام بشه,1,1
fas_b876eb49ee15439f27630e8ddb18bcde,اصلاح طلب ها را اعدام کنید راحت شید,1,1
fas_bd7159658a49b9c551ac275d8d910be9,برای دختر هایی که قبل از اعدام بهشون تجاوز شد,1,1
fas_c1e774464a1f9519d071ad714de3d9c4,کل حضرات با احکام اول انقلاب اعدام باید بشوند,1,1
fas_ce2d4f6663d78309497518ead6e8ec94,کت تا ابد تن زنی هست که احساساتش رو ریخته تو گونی  برده جایی که عرب نی انداخت ولی 😔,1,1
fas_d50303984d6932da6f52ba4667523216,آزادی بیان فقط موقعی معنی داره که همراه موج شون باشی وگرنه تو یک جنایتکار جاهل غارنشین بی فرهنگ هستی,1,1
fas_d67487596472c0437ace2a659b06318c,برای اعدام های فله ای تون در دهه ۶۰  #مهسا_امینی,1,1
fas_db36e036802f65b846c0d8fb8a9906a0,گوووووووونخور حکم محاربه یعنی جنگیدن با خدا و پیغمبرش بیسواات . ریدمممممممم به اون علمی که از اسلام خودتون دارید,1,1
fas_dcfe260ad609b68f2b3f8173200d4d93,این گردن نداره واسه اعدام باید فقط تیر حرومش کرد,1,1
fas_e0abe12357bbd97b0e42298f083858f3,به اموال عمومی آسیب نزنید ون های گشت ارشاد اموال عمومی محسوب نمی شه  اونا رو با کارکنانش آتیش بزنید,1,1
fas_e3a5dcb9f486f50446ae12c15d12b070,گه توقبر همتون با برجام تخمیتون که عمرمون تلف شد,1,1
fas_e53e82bcd51940d4bbdf83ba2059ce6b,والا ما که مردم ایرانیم از اعدام جنایتکاران پشتیبانی می‌کنیم.,1,1
fas_e5bba64febdb87509a2b56de2191d760,برای حمله شیراز، گردن‌های بسیار برای اعدام و سیناریوسازی در محبس دارند.,1,1
fas_ed6fe4b300402819a5cf3a71a08b359c,تو ترکیه هم بمونه اعدام میشه,1,1
fas_f052970576e110495a9db3ac03026d73,من اگ الان مدرسه بودم  بی بروبرگشت حکمم اعدام بود:),1,1
fas_f1566fe309f4a71d8f5fbfb5c1896788,مسلمون جماعت بخصوص شیعه ها عاشق اعدام و کشتن هستن!,1,1
