id,text,dehumanization_pred,dehumanization_gold
eng_83be7472497a0dbc736aed5298ca6bfe,the LIBERAL agenda is taking over capgc catGAYecter repulsBIvaan spideyymurdock,1,1
eng_863a679b501ff1cf627a06bf5c4c9a75,Kamala Harris lost cause she retarded asf.,1,1
eng_87565962d029762a24f291b8c7ae5044, Is anyone gonna tell Orange Man that if Canada is the 51st state we dont need no border security?,1,1
eng_896a59b80fe838ce44dfbb354a662f93,It should be deportation to his ancestral country of origin!,1,1
eng_89a78712d647ae9e70f63135655e52c7,"Buybull quoting, traitor. Evil beyond imagination.",1,1
eng_8b7ef6b025d98237b82c064998e60ae4,Lock them up unlike blue states,1,1
eng_8bf5fe4d5c650d506aac3122dca80ac4,"Cameron Kroetsch as per usual is completely full of sht and represents a very tiny amount of residents in his own ward. If hes not removed from the Hamilton Police Board entirely, residents of HamOnt have been failed. His Defund the Police buddies are equally full of sht and brain dead.",1,1
eng_8f711b7ef79219a2081eaf3d4a387999,"Israel has a place, just not as a Jewish apartheid state. The IDF needs to front up for its war crimes as well.",1,1
eng_93a27059f500e4956fb94de34a1bcd64,They want white nationalism terrorism to organize and gather power,1,1
eng_982e30f81657291f53d3e5432f4f1b3a,They gonna have to admit that they didnt care about policies it was the xenophobia that attracted them.,1,1
eng_9dd57c7e54e24a9a61e01f585134e0d3,"US Nazis, Syrian Nazis, ZioNazi Nazis, Ukrainian Nazis, German Nazis. It looks as though in WW111 we will be on thew side of the Nazis.",1,1
eng_9e48c8ebe9e9e48e757342bde61c4415,"And nothing at all is said about Ukrainian NAZIS or the RUSSIAN SPEAKERS! S REALLY, THEY HAVE NO IDEA WHAT THEY ARE MURDERING, DESTROYING, OR TRYING TO CLAIM LAND FOR!",1,1
eng_9fd0e2a88f725b1f2b1bffa5721f415f,This is another voter suppression tactic by Republicans. .bsky.social please vote no on this.,1,1
eng_a192c0f847fc1e0f06534b07e8533161,Basically the leftist narrative always conveniently leaves out that 1 there was a war in 1947. 2_ The war happened because the entire arab world did not accept peaceful coexistence with a jewish state. Fuck around and find out. Wars often create refugees.,1,1
eng_a2baa6e3c6c9c7acd191a4637b469249,Remember Mike Pence spoke up 4 years ago and for it they tried to hang him. Maga is holding the GOP hostage,1,1
eng_a3e14d43bfae3b74a2f7311509fd9db2,"Projection ""Destroy the only Jewish state"" Meanwhile there are a dozen of failed Arab states Silly nazi",1,1
eng_a4ebcb68f75974e5172190e2ba6ef119,"Conspiracy theory Dr. Billiam Feathersworth is not actually a duck, but a poorly disguised lizard person. p4a2025",1,1
eng_a8f09fa1835578fd0a0e631b3e73439f,"It is not that Mike Pence aggressively cherishes his own butt, its that Mike Pence idiotically abuses fruitflies during choir.",1,1
eng_aa85a787fac2af36752bf54307716ab6,Trumpism stole my family and friends.,1,1
eng_b661f45d99b447f48e1c3339da1d887b,BS and brought to you by the radical left!,1,1
eng_b721048cb72d697754011fc902caa8dd,South African from an apartheid state running America . Hes your real foreign agent.,1,1
eng_bcc3d3896ee3ed2d31d33c1c9246c0da,Lionel loves Zionism too. Trump Cultist.,1,1
eng_c53569ec2095bcda77f6e2f67d1078c1,His cult have no idea and are still getting news from Fox News,1,1
eng_c6da4f8e280721a3c7478657cb16c1ff,What will the woke mob come for next? Dog Cum?!?!?,1,1
eng_cf840005e1cd7563d09ee4c2578dcb33,A radical left wing negrowho will only side with the demoncrats!,1,1
eng_cf9ad9342d2ccfa4094a41dd820138ef,"just having a little lighthearted fun, chosen ahole style ""Jewish settler opens fire at Palestinian schools in West Bank""",1,1
eng_d0dbfd1330452bae39b04ebad84345d0,The antiimmigration party makes exceptions when it benefits them personally.,1,1
eng_d1f5486314d6f63c9bad53a60ebefa16,"Genocide, Apartheid, ethnic cleansing. Israel is a crime",1,1
eng_d3c043ae73d3516fbb2549a575053903,"The radical left is at it again. Same playbook 1. They accuse anyone who says illegal votes are being counted of being a far right wing conspiracy theorist. 2. It turns out to be happening... 3. They AGREE its happening, but now thats actually GOOD!! 4. They use lawfare",1,1
eng_d49683251fcb1fc627abfa4b8acea95f,"Hot take Theyve always been fascist, now theyre just openly fascist.",1,1
eng_d4f08c009aad0860f4289c11fa1f6dd4,So you have no issue with ethnic cleansing?,1,1
eng_d58d381bbb5b0e8f3b4f83f1fa2a74d4,The stated aim of the US political elites is to pacify Whites through ethnic cleansing.,1,1
eng_d6dbe801006609a22d11f9b665fdf490,"Noones holding elections because theyve been under military occupation since the last one, but you dont want to pay attention to that because it distracts you from jerking off to dead brown babies",1,1
eng_d73d1e7330d16282d394840fd4a22c82,"More than 700.000 stinky terrorists settlers r living on stolen land. Thats an act of war itself, means military occupation, checkpoints fking w palestinians lives. Ergo Israel is the only one responsable of all the violente there. The ICJ has made it clear, get out then u can give moral lessons",1,1
eng_d845e6b7db9b546012645603e8e0a226,The context is that Israel is a settler colonial apartheid state.,1,1
eng_d8e443ccac4a644cfbcbfbe9b2469565,To MAFAL Make America Fascist At Last.,1,1
eng_e1b7a4f1665f702285d7145a88cd0349,Haartez presenting the truth about IsraeliWarCrimes highlights the obscene proIsrael slant of our mainstream media.,1,1
eng_e6c7c96f0224d4e58622f3a277a6ebd7,Oh also illegal immigration has decreased. But caravans and Haitians eating pets you know,1,1
eng_e79d5ab71a6fd492a39fdb4f44f59841,Terrorist TPLF used Tigrayans who as human shields on Nov 4! UnityForEthiopia UnityForEthiopia BeFairUNSC,1,1
eng_f00c2e7e75d7514b050bcfe58b19c67b,Hamas doesnt want peace and they use their own people as human shields.,1,1
eng_f2f34816d6a26ab0941f49de167a95ef,"Stand by corruption, human shields, Vogue .. only misguided ppl use this flag.",1,1
eng_fbd3d168a3e3496fd5ef450ec821a68a,MAGA arent conservatives. You are MAGA. MAGA are the ruination of America,1,1
eng_fc6874054283b933a2c2e04aec01894e,Donald Trump is a genocidal sociopath.,1,1
eng_ff9e1752115c1f341b52ca6dadedbe71,"the dichotomy between red states and blue states should make any republican rethink they views. is anyone saying they feel in danger going to blue states? people of color and queer people arent safe in red states. mfs gripe with blue states is they cant call folks slurs, not they fear for they lives",1,1
